ID,Gene,Variation,Class
0,447,7654,1
1,216,8255,2
2,216,5191,2
3,216,4572,3
4,216,3958,4
5,216,7898,4
6,216,7913,5
7,216,1350,1
8,216,8435,4
9,216,716,4
10,216,4939,4
11,216,3483,4
12,216,6206,4
13,216,713,4
14,216,4961,5
15,216,1128,4
16,216,7654,1
17,216,5236,4
18,216,4319,5
19,216,8436,4
20,216,3081,6
21,216,721,4
22,216,2518,4
23,216,7042,4
24,216,4953,4
25,216,3005,4
26,1211,6993,4
27,1353,8566,4
28,1353,625,7
29,1353,3008,4
30,1353,3072,4
31,1353,5113,7
32,1353,5062,4
33,1353,493,2
34,1353,647,7
35,349,2257,4
36,349,2256,4
37,349,955,1
38,349,954,1
39,349,1428,4
40,349,976,4
41,349,7654,1
42,349,1429,4
43,349,1350,1
44,1082,7292,4
45,1082,8010,1
46,1082,7622,4
47,1082,421,1
48,1082,5112,4
49,1082,5461,4
50,1082,169,1
51,1082,8399,1
52,1082,1333,4
53,1082,4595,1
54,1082,1920,1
55,1082,4102,1
56,1082,8094,4
57,1082,8449,1
58,1082,2033,1
59,1082,5336,1
60,1082,6245,1
61,1082,5405,4
62,1082,16,4
63,1082,5318,4
64,1082,7564,1
65,1082,3435,1
66,1082,4416,4
67,1124,8428,7
68,1124,8430,7
69,1124,8429,7
70,1213,1350,1
71,223,493,2
72,1095,3833,1
73,1095,3675,4
74,1095,1350,1
75,224,493,2
76,224,4871,2
77,224,5204,7
78,224,7409,7
79,224,7408,7
80,224,3224,2
81,224,3225,2
82,1128,448,7
83,1128,447,7
84,1128,449,2
85,1128,4388,7
86,225,493,7
87,225,4683,7
88,1159,7654,1
89,1360,4576,4
90,1360,6301,1
91,1360,735,4
92,1360,2650,4
93,1360,5084,4
94,1360,6940,1
95,1360,7050,4
96,1360,7641,4
97,1361,6363,2
98,1361,1132,4
99,1361,5007,4
100,1361,7654,1
101,1361,1350,1
102,827,6692,4
103,827,6725,1
104,827,1382,4
105,827,7276,1
106,827,2548,5
107,827,1350,1
108,827,5348,1
109,827,5359,5
110,827,7654,1
111,827,7941,5
112,827,1768,4
113,827,1824,4
114,827,1825,4
115,715,1350,1
116,715,7654,1
117,731,7654,4
118,960,7654,1
119,960,1350,1
120,960,4437,4
121,1199,3591,8
122,1199,6455,9
123,1199,1667,9
124,1199,3048,9
125,1199,6456,9
126,1199,3584,9
127,1199,3049,9
128,1199,6458,9
129,1199,3587,9
130,1199,6459,9
131,1199,1668,9
132,1199,6457,9
133,1199,3585,9
134,1199,3586,9
135,1199,3590,9
136,1199,6710,9
137,732,1350,4
138,389,4126,7
139,389,7193,2
140,389,3286,5
141,389,1276,7
142,389,2747,7
143,389,2758,7
144,389,4651,7
145,389,3512,2
146,389,1720,7
147,389,1272,7
148,389,2753,7
149,389,3594,7
150,389,1780,7
151,389,8046,2
152,389,1779,7
153,389,4159,2
154,389,3070,5
155,389,1723,2
156,389,3059,7
157,389,7586,2
158,389,4116,7
159,389,1696,2
160,389,1266,2
161,389,3604,2
162,389,3060,2
163,389,8078,4
164,389,1778,7
165,389,1273,7
166,389,1712,7
167,389,461,7
168,389,1710,2
169,389,1813,7
170,389,1782,7
171,389,457,2
172,389,1695,2
173,389,1738,7
174,389,438,7
175,389,8050,7
176,389,2784,7
177,389,6624,2
178,389,5060,2
179,389,2806,2
180,389,2750,7
181,389,4118,2
182,389,7605,2
183,389,4097,2
184,389,439,7
185,389,8036,2
186,389,1711,2
187,389,4123,7
188,389,1812,7
189,389,7197,7
190,389,801,7
191,389,7236,6
192,389,4660,2
193,389,3063,7
194,389,3061,7
195,389,4120,7
196,389,802,3
197,389,1816,7
198,389,1814,7
199,389,4100,4
200,389,4166,7
201,389,4115,2
202,389,4659,7
203,389,4121,7
204,389,493,7
205,389,4160,2
206,389,4125,7
207,389,5355,7
208,389,8053,2
209,389,7155,2
210,389,4161,7
211,389,1776,7
212,389,4119,7
213,389,8054,2
214,389,3062,7
215,389,1709,2
216,389,4165,2
217,389,3593,4
218,389,1717,7
219,389,4117,2
220,389,7106,8
221,389,7199,7
222,389,1305,2
223,389,4167,7
224,389,2749,2
225,389,1697,7
226,389,441,7
227,389,7202,7
228,389,8556,7
229,389,3325,7
230,389,8040,7
231,389,1713,7
232,389,4122,7
233,389,7588,7
234,389,4099,2
235,389,7608,7
236,389,443,7
237,389,1754,4
238,389,1781,7
239,389,7200,7
240,389,1719,7
241,389,1706,7
242,389,6588,7
243,389,7395,7
244,389,7606,7
245,389,437,7
246,389,4152,7
247,389,5069,2
248,389,442,2
249,389,2811,2
250,389,3337,4
251,389,4150,7
252,389,6020,7
253,389,8048,2
254,389,8243,7
255,389,1760,7
256,389,7457,7
257,389,2748,2
258,389,1546,7
259,389,7088,2
260,389,6634,1
261,389,1275,7
262,389,1714,7
263,389,6587,7
264,389,1755,7
265,389,5085,5
266,389,4164,2
267,389,2789,7
268,389,1777,2
269,389,1693,2
270,389,1694,7
271,389,5032,2
272,389,1692,7
273,389,1212,7
274,389,2810,7
275,389,4151,2
276,389,1715,7
277,389,8075,7
278,389,2604,2
279,887,3359,2
280,887,7651,2
281,887,493,7
282,887,2076,2
283,887,7650,2
284,887,271,7
285,392,35,7
286,109,1350,1
287,109,7654,1
288,185,493,7
289,185,503,7
290,599,6747,1
291,418,1350,1
292,254,3479,4
293,254,3150,6
294,254,1415,4
295,254,5086,3
296,254,7065,1
297,254,5388,4
298,254,1539,4
299,951,493,7
300,1380,7643,7
301,1380,7645,2
302,1380,7644,2
303,1380,7597,3
304,1380,2076,2
305,1380,4235,3
306,583,2498,8
307,583,3456,8
308,583,2499,8
309,399,3218,1
310,399,6034,1
311,399,7010,5
312,399,6996,5
313,399,7654,1
314,399,3466,5
315,1138,6891,2
316,1138,493,2
317,1138,999,2
318,1138,6892,2
319,1138,1806,7
320,1138,3786,2
321,1138,6740,7
322,1138,4191,2
323,1138,7786,2
324,1138,2293,2
325,1138,2282,2
326,1138,3616,2
327,1138,7246,7
328,1138,3787,6
329,1138,4403,2
330,1138,2076,2
331,1138,4193,7
332,1138,7244,7
333,1138,7640,2
334,1138,2302,2
335,1138,858,2
336,1138,854,7
337,1138,612,2
338,1138,851,2
339,1138,1451,2
340,1138,2072,7
341,123,7654,1
342,233,6551,1
343,233,1350,1
344,233,395,4
345,233,1039,4
346,233,403,4
347,233,239,1
348,233,7453,4
349,233,1043,1
350,233,1807,1
351,404,3,4
352,402,2076,2
353,402,8317,4
354,402,5564,4
355,402,562,4
356,402,1785,7
357,402,928,4
358,402,1784,7
359,402,1350,1
360,402,4735,4
361,403,7,2
362,403,5009,2
363,403,364,2
364,403,5010,2
365,403,363,2
366,403,8495,2
367,403,5008,2
368,403,6,2
369,1390,6912,4
370,1390,5912,4
371,1390,5707,1
372,1390,2921,4
373,1390,3379,4
374,1390,666,1
375,1390,5960,1
376,1390,6053,1
377,1390,4866,4
378,1390,8372,4
379,1390,668,1
380,1390,6941,4
381,1390,7749,4
382,1390,5224,1
383,1390,2873,6
384,1390,4813,4
385,1390,5842,4
386,1390,7828,1
387,1390,5623,1
388,1390,5839,4
389,1390,6781,2
390,1390,8361,4
391,1390,4742,1
392,1390,5644,4
393,1390,6049,4
394,1390,3381,4
395,1390,2345,1
396,1390,5624,4
397,1390,5646,1
398,1390,2342,4
399,1390,6938,1
400,1390,5908,1
401,1390,1473,6
402,1390,5222,1
403,1390,8360,4
404,1390,6061,4
405,1390,637,1
406,1390,638,4
407,1390,557,1
408,1390,4281,1
409,1390,7779,1
410,1390,6782,6
411,1390,6939,1
412,1390,1346,4
413,1390,5836,1
414,1390,2953,1
415,1390,3914,1
416,1390,4739,4
417,1390,7654,1
418,1390,5365,1
419,1390,594,4
420,1390,2923,4
421,1390,667,1
422,1390,3923,1
423,1390,5891,1
424,1390,5535,4
425,1390,986,1
426,1390,664,4
427,1390,1513,1
428,1390,1347,4
429,1390,7722,4
430,1390,8376,4
431,1390,6051,1
432,1390,5739,4
433,1390,5933,4
434,1390,5366,1
435,1390,5841,1
436,1390,2912,1
437,1390,5959,1
438,1390,2933,4
439,1390,4502,4
440,1390,3928,1
441,1390,4216,1
442,1390,2919,4
443,1390,2341,4
444,1390,4898,1
445,1390,2978,5
446,1390,7825,1
447,1390,2340,1
448,1390,2347,4
449,1390,3927,1
450,1390,8326,4
451,1390,2920,1
452,1390,4499,4
453,1390,2914,4
454,1390,1514,4
455,1390,3208,1
456,1390,5543,4
457,1390,103,1
458,1390,4863,1
459,1390,5840,4
460,1390,1952,1
461,1390,3460,1
462,1390,2371,4
463,1390,2922,4
464,1390,566,1
465,1390,7706,1
466,1390,1542,4
467,1390,626,1
468,1390,3458,1
469,1390,5137,1
470,1390,5838,1
471,1390,4844,1
472,1390,278,1
473,1390,7723,1
474,1390,3204,1
475,1390,1853,1
476,1390,4741,1
477,1390,2287,1
478,1390,3155,1
479,1390,556,4
480,1390,1348,4
481,1390,102,4
482,1390,2469,3
483,1390,7751,4
484,1390,5544,4
485,1390,2932,4
486,1390,5625,4
487,1390,4984,3
488,1390,5930,1
489,1390,5934,1
490,1390,3459,2
491,1390,8374,4
492,1390,5837,1
493,1390,5534,1
494,1390,8375,4
495,1390,7303,1
496,1390,3922,4
497,1390,2960,1
498,1390,4864,4
499,1390,3457,1
500,1390,1495,1
501,1390,6942,4
502,1390,630,4
503,1390,1905,6
504,1390,5940,1
505,1390,5890,2
506,1390,2952,1
507,1390,7281,5
508,1390,6911,1
509,1390,5938,1
510,1390,5910,4
511,1390,2343,1
512,1390,558,9
513,1390,5942,1
514,1390,5645,4
515,1390,4738,1
516,1390,1949,1
517,1390,8371,4
518,1390,4737,4
519,1390,5909,1
520,1390,7778,1
521,1390,1515,4
522,1390,3380,4
523,1390,3181,1
524,1390,2492,6
525,1390,5542,1
526,1390,2951,1
527,1390,631,4
528,1390,3705,4
529,1390,4865,4
530,1390,6052,1
531,1390,2370,1
532,1391,7654,1
533,1391,1350,1
534,1275,6016,4
535,1275,4892,1
536,1275,1954,5
537,1275,7860,1
538,1275,8185,5
539,1275,1350,4
540,1275,1162,1
541,1275,8446,6
542,1275,3497,1
543,1275,7490,1
544,1275,6980,1
545,1275,1074,1
546,1275,3480,6
547,1275,4558,6
548,1275,8454,1
549,1275,6214,6
550,1275,1075,1
551,1275,6000,1
552,1275,1163,1
553,1276,8408,1
554,1276,3472,1
555,1276,7880,1
556,1276,1046,4
557,1276,6112,1
558,1276,5951,4
559,1276,1350,1
560,1276,8406,1
561,1276,8378,1
562,1276,5820,1
563,1276,6113,4
564,1276,5963,1
565,1276,1481,4
566,1276,1137,4
567,1276,8444,1
568,1276,8195,1
569,1276,1136,4
570,1276,5893,4
571,1276,1135,4
572,1276,7830,4
573,1276,7063,4
574,1276,8377,3
575,1276,4910,4
576,1277,1189,4
577,1277,8214,6
578,1277,3523,1
579,1277,1190,4
580,1277,2639,1
581,1277,6120,1
582,1277,6230,5
583,1277,6095,4
584,1277,3981,1
585,1277,7654,1
586,1277,6314,4
587,1277,6342,4
588,1277,8192,6
589,1277,2563,4
590,1277,6204,5
591,1277,8490,6
592,1277,7932,6
593,1277,1175,1
594,1277,7886,1
595,1277,5325,4
596,1277,4721,4
597,1277,1350,4
598,1277,3522,1
599,1277,1545,1
600,1277,3503,1
601,1277,6313,4
602,1277,1546,4
603,1277,691,1
604,1277,8427,1
605,1277,1111,4
606,1277,365,4
607,1277,1112,4
608,1277,2889,1
609,236,493,7
610,236,5843,7
611,236,3437,7
612,138,4683,2
613,237,154,4
614,237,493,7
615,457,6259,4
616,457,7129,3
617,457,6283,4
618,457,7086,5
619,457,6929,4
620,457,1180,1
621,457,6284,4
622,457,6282,4
623,457,6487,1
624,457,6327,4
625,457,6516,1
626,457,3377,1
627,457,7361,2
628,457,6328,4
629,457,1350,1
630,457,3247,5
631,457,864,4
632,457,2568,1
633,457,6291,4
634,238,493,7
635,240,1350,1
636,240,7654,1
637,240,7004,6
638,241,1350,4
639,241,4724,1
640,241,7668,6
641,241,7654,1
642,242,5254,4
643,242,4698,4
644,242,1690,4
645,242,2729,4
646,242,4181,4
647,242,1316,4
648,242,5253,4
649,242,7682,4
650,242,7654,1
651,242,1317,4
652,242,4349,4
653,242,7604,4
654,242,4647,4
655,242,2730,4
656,242,4649,4
657,242,6608,1
658,242,1319,4
659,242,1263,4
660,242,1264,4
661,242,5080,4
662,242,3910,4
663,242,883,1
664,242,1350,4
665,242,2498,4
666,242,1320,4
667,242,4648,4
668,242,5845,4
669,242,6734,4
670,242,87,6
671,242,2333,4
672,242,6607,4
673,242,2496,4
674,242,3066,4
675,242,299,4
676,242,4988,4
677,242,884,1
678,242,5082,4
679,242,2081,4
680,242,380,4
681,242,6656,4
682,242,3065,4
683,242,1318,4
684,242,4699,4
685,242,3288,4
686,242,5373,4
687,242,7134,4
688,242,6600,4
689,242,391,4
690,242,6657,4
691,242,1761,4
692,242,2840,4
693,242,7676,4
694,243,7654,1
695,243,1350,4
696,243,3086,4
697,243,1549,4
698,243,4949,4
699,243,1325,4
700,243,203,4
701,244,1350,1
702,122,1350,1
703,407,1741,6
704,407,4014,5
705,407,6508,2
706,407,7611,2
707,407,1280,2
708,407,8018,7
709,407,7195,5
710,407,8072,6
711,407,4168,7
712,407,804,6
713,407,3327,7
714,407,6743,6
715,407,1701,6
716,407,3596,6
717,407,1702,6
718,407,8552,7
719,407,2775,7
720,407,6998,7
721,407,7014,2
722,407,4138,6
723,407,4174,6
724,407,696,7
725,407,2778,7
726,407,2723,7
727,407,8055,2
728,407,3597,4
729,407,8074,7
730,407,8042,5
731,407,4533,5
732,407,1818,7
733,407,8052,2
734,407,1700,6
735,407,3595,4
736,407,7591,2
737,407,8563,1
738,407,7158,7
739,407,4378,7
740,407,1269,7
741,407,4109,7
742,407,3073,7
743,407,1817,7
744,407,493,7
745,407,4131,7
746,407,1297,2
747,407,2436,7
748,407,1499,2
749,407,1270,7
750,407,7610,8
751,407,4130,7
752,407,8303,4
753,407,5073,2
754,407,8056,7
755,407,7201,6
756,407,1268,4
757,407,685,7
758,407,2777,7
759,407,1058,2
760,407,5496,5
761,407,2438,7
762,407,1538,7
763,407,4108,2
764,407,8057,5
765,407,8557,6
766,407,4664,2
767,407,1314,4
768,407,2779,7
769,407,6999,7
770,407,8059,2
771,407,2776,7
772,408,7221,7
773,408,33,6
774,408,2398,7
775,408,4854,7
776,408,8033,5
777,408,7478,7
778,408,493,7
779,408,5311,7
780,408,6495,6
781,408,196,7
782,408,7661,7
783,409,1598,7
784,409,1805,7
785,409,5996,7
786,409,1650,7
787,409,7876,3
788,409,7387,3
789,409,8402,7
790,409,6368,7
791,409,4387,6
792,409,1219,7
793,409,2076,2
794,409,4467,3
795,409,6627,6
796,409,2782,6
797,409,2837,6
798,409,1532,7
799,409,1637,7
800,409,1756,7
801,409,3612,7
802,409,1747,7
803,410,2726,1
804,410,1662,1
805,410,425,1
806,410,4501,1
807,410,493,2
808,410,7191,1
809,410,6463,1
810,410,1226,1
811,410,1178,1
812,410,7948,1
813,410,6302,1
814,410,4977,1
815,410,3991,1
816,410,6427,5
817,410,8383,1
818,410,1147,1
819,410,2006,1
820,410,7810,1
821,410,6436,1
822,186,282,1
823,186,4983,4
824,186,4301,6
825,186,5609,4
826,186,7654,1
827,186,1350,1
828,186,3532,4
829,411,5357,4
830,411,7654,1
831,412,6517,4
832,412,1350,1
833,412,1757,4
834,412,3829,4
835,412,7654,1
836,412,7203,4
837,19,498,7
838,19,3849,2
839,19,2356,2
840,19,4284,2
841,19,2076,2
842,19,1550,2
843,19,3947,2
844,19,1509,2
845,19,1602,2
846,19,1940,2
847,19,8386,7
848,19,7430,2
849,19,1506,2
850,19,1494,2
851,19,1493,2
852,19,3002,2
853,19,8387,2
854,19,7844,2
855,19,3946,2
856,19,7893,2
857,19,4311,2
858,19,7837,2
859,19,5193,2
860,19,1943,2
861,19,3003,2
862,19,1959,2
863,245,7654,1
864,416,7642,7
865,416,1797,7
866,416,2075,7
867,416,2076,2
868,600,10,1
869,600,7654,1
870,601,7654,1
871,969,751,7
872,969,400,2
873,969,6288,5
874,969,3067,7
875,969,4721,5
876,969,3617,7
877,969,4665,3
878,969,5272,7
879,969,6565,7
880,969,6634,7
881,969,754,7
882,969,4638,7
883,969,3032,3
884,969,8505,7
885,969,7139,7
886,969,1773,3
887,969,7947,7
888,969,7100,5
889,969,3332,7
890,969,3045,7
891,969,2797,3
892,969,401,3
893,969,7978,7
894,969,3303,3
895,969,8440,7
896,969,7975,2
897,969,1313,7
898,969,3607,3
899,969,1311,7
900,969,7131,7
901,969,1308,7
902,969,4639,7
903,969,3621,7
904,969,8568,7
905,969,3330,3
906,969,880,3
907,969,2804,7
908,969,1309,7
909,969,7578,2
910,969,5027,7
911,969,1530,7
912,969,493,7
913,969,8181,1
914,969,1315,7
915,969,4663,7
916,969,3333,7
917,969,4019,5
918,969,4640,7
919,969,7976,7
920,969,755,7
921,969,3068,7
922,969,7253,7
923,969,1310,7
924,969,8567,7
925,969,501,7
926,969,9,7
927,969,1792,7
928,969,8016,7
929,969,7950,7
930,969,2039,4
931,970,3615,7
932,970,6729,1
933,970,4680,2
934,970,2854,2
935,970,2853,2
936,970,8269,2
937,970,7646,2
938,970,2076,2
939,970,5109,2
940,970,1775,7
941,970,491,2
942,970,493,6
943,970,1360,1
944,970,5108,2
945,970,502,2
946,970,6392,6
947,970,857,2
948,970,2852,2
949,970,7249,2
950,970,3084,7
951,970,3618,2
952,970,1793,7
953,970,8019,4
954,1111,7654,1
955,1111,1350,1
956,1111,7879,4
957,694,1131,4
958,694,4985,4
959,694,7665,4
960,694,4683,2
961,694,4271,4
962,421,2076,2
963,421,7946,3
964,421,4028,7
965,421,3995,7
966,421,7087,2
967,421,1563,7
968,421,369,7
969,421,1788,7
970,421,4029,7
971,421,4027,7
972,421,7908,7
973,421,1787,7
974,421,4030,7
975,421,7066,3
976,421,8496,7
977,421,8498,7
978,426,7643,7
979,426,2076,2
980,426,1798,7
981,427,6197,4
982,427,6103,1
983,427,2076,2
984,427,4809,4
985,427,6104,1
986,427,4,4
987,427,1790,7
988,427,1791,7
989,1411,4276,4
990,1411,1870,4
991,1411,3606,5
992,1411,7030,4
993,1411,3652,4
994,1411,3050,1
995,1411,5831,3
996,1411,7493,3
997,1411,2431,3
998,1411,4477,4
999,1411,7794,1
1000,1411,2863,4
1001,1411,7654,1
1002,1411,2430,3
1003,1411,7685,4
1004,1411,2942,4
1005,1411,2083,3
1006,1411,3783,4
1007,1411,3771,4
1008,1411,5360,3
1009,650,1350,4
1010,1412,6748,1
1011,1412,2200,1
1012,1412,3965,4
1013,1412,7843,1
1014,1412,2907,4
1015,1412,7654,1
1016,1412,3728,1
1017,1412,5144,1
1018,1412,7315,4
1019,1412,3034,4
1020,1412,1409,4
1021,1412,7273,4
1022,1412,7738,1
1023,1412,8027,4
1024,1412,4754,4
1025,1412,2206,1
1026,1412,6680,4
1027,1412,6679,4
1028,1412,7737,1
1029,1412,6444,4
1030,1412,4149,4
1031,1412,6848,4
1032,1412,6678,4
1033,1412,6847,4
1034,1412,8047,4
1035,1412,5142,1
1036,1412,1350,1
1037,1412,470,4
1038,1412,8122,1
1039,1412,6253,1
1040,1412,5401,4
1041,1412,4142,4
1042,1412,4011,1
1043,1412,4009,7
1044,1412,814,4
1045,1412,4145,1
1046,1412,394,4
1047,1412,3707,1
1048,1412,6443,4
1049,1412,6828,1
1050,1412,2022,1
1051,1412,8516,1
1052,1412,8026,4
1053,1412,4155,1
1054,1412,3985,1
1055,1412,4758,1
1056,1412,1724,1
1057,430,1800,2
1058,430,1804,7
1059,430,1796,7
1060,430,1798,7
1061,430,2076,2
1062,430,1801,7
1063,430,1802,7
1064,430,1795,2
1065,430,1799,2
1066,430,1794,2
1067,430,1803,7
1068,30,5714,7
1069,30,2462,2
1070,30,2464,7
1071,485,2816,1
1072,485,3948,1
1073,485,1350,1
1074,485,7076,2
1075,485,3988,1
1076,485,1975,1
1077,485,493,7
1078,485,4287,1
1079,786,493,7
1080,107,7654,1
1081,434,8534,9
1082,434,8532,9
1083,434,8533,9
1084,434,8531,9
1085,434,8535,9
1086,434,413,9
1087,434,4683,7
1088,434,493,7
1089,787,493,7
1090,708,3493,2
1091,1158,6947,6
1092,1158,6950,6
1093,773,7299,1
1094,773,7654,6
1095,773,1378,5
1096,773,7602,1
1097,142,7654,1
1098,152,1350,1
1099,152,480,4
1100,152,1687,4
1101,152,839,4
1102,152,7654,1
1103,152,1880,4
1104,152,3283,4
1105,152,838,4
1106,152,2041,4
1107,795,1350,4
1108,448,7223,4
1109,448,6753,1
1110,448,7654,1
1111,448,3022,4
1112,448,8489,4
1113,448,1350,1
1114,448,3868,4
1115,448,8136,4
1116,448,3809,4
1117,449,7654,1
1118,797,8272,7
1119,797,6722,6
1120,797,8280,2
1121,797,7675,7
1122,797,1839,7
1123,797,4550,6
1124,797,7667,7
1125,797,8300,7
1126,797,8281,7
1127,797,493,7
1128,797,3656,7
1129,797,8278,7
1130,797,868,2
1131,797,2869,7
1132,797,8274,7
1133,797,4683,7
1134,797,8279,2
1135,797,8302,7
1136,797,2867,7
1137,797,870,2
1138,797,12,7
1139,797,869,2
1140,797,8273,7
1141,797,2868,7
1142,797,4210,7
1143,797,5110,2
